"","D1","D2","fear_mean","disgust_mean","approach_mean"
"Sp_053",-0.138669358551797,-0.422153399561583,54.1666666666667,60.7777777777778,37.4722222222222
"Sp_054",-0.239367674030106,-0.648994306268198,52.7659574468085,55.5744680851064,44
"Sp_055",0.633765997793231,0.705409112379524,24.0294117647059,24,11.6176470588235
"Sp_056",-0.86316475636461,-0.308484054448968,16.5,28.4,20.55
"Sp_057",-0.438217684654338,0.907510561985871,18.0810810810811,23.5945945945946,14.7837837837838
"Sp_058",-0.604467842432148,0.434977682625525,45.4358974358974,63.9487179487179,38.9230769230769
"Sp_059",-0.769923556905758,-0.389827269919046,24.0869565217391,40.3623188405797,26.1884057971014
"Sp_060",-0.56636211623439,0.653918057670241,15.5333333333333,17.9777777777778,14.2
"Sp_061",0.377423890965482,0.093331933508253,52.4444444444444,61.0555555555556,40.8611111111111
"Sp_062",0.630413736172727,-0.272815156535841,61.6,68.6888888888889,54.0444444444444
"Sp_063",-0.658508782324724,0.459750625979871,36.28125,47.5625,25.625
"Sp_064",-0.460399709364391,-0.37689892396459,36.675,43,34.65
"Sp_065",0.364358658394365,-0.493845103507478,69.0512820512821,79.4102564102564,49.3076923076923
"Sp_066",-0.00429877020331571,-0.571397231939132,60.5142857142857,70.0571428571429,56.1428571428571
"Sp_067",0.25222030602641,-0.053988071248992,63.9444444444444,76.5277777777778,51.3333333333333
"Sp_068",0.308239671531868,-0.304977697179356,57.7575757575758,66.6060606060606,47.7575757575758
"Sp_069",0.568045949307853,0.111344801757698,74.0740740740741,79.037037037037,65.8888888888889
"Sp_070",-0.735255792267477,0.030715418903799,13.4285714285714,17.8928571428571,16.8928571428571
"Sp_071",-0.160897718994982,-0.312031122104306,64.3827160493827,65.7777777777778,56.7654320987654
"Sp_072",-0.708641038757682,-0.469521501723258,19.974358974359,21.6666666666667,16.9230769230769
"Sp_073",0.610442487789156,-0.430126658826372,63.6216216216216,67.1891891891892,54.7297297297297
"Sp_074",0.0933996291789473,-0.499706580198955,54.0493827160494,61.4444444444444,45.4320987654321
"Sp_075",-0.738770366398472,-0.497906172061474,36.4857142857143,50.5142857142857,36.0571428571429
"Sp_076",0.32690508475407,-0.513204966631765,62.9076923076923,73,52.5538461538462
"Sp_077",-0.209531195780839,-0.341656394999756,56.5625,62.5625,41.21875
"Sp_078",-0.355910123536452,-0.498495683144417,52.1219512195122,58.0487804878049,44.9268292682927
"Sp_079",0.261974975026046,-0.288012447949913,76.425,77.325,63.325
"Sp_080",0.152973525626749,-0.317443146018008,64.1842105263158,64.8421052631579,48.3157894736842
"Sp_081",-0.630486032943568,-0.410372649264404,33.9736842105263,45.6052631578947,31.2631578947368
"Sp_082",0.682621950786782,-0.321349893217437,71.4054054054054,74.2972972972973,62.0540540540541
"Sp_083",-0.105248374168984,-0.415737081922972,50,58.9444444444444,48.1944444444444
"Sp_084",0.392341062580805,-0.388070483553624,62,64.5882352941177,54.8529411764706
"Sp_085",0.726836815600076,-0.20558177900633,63.6842105263158,64.9473684210526,55.5789473684211
"Sp_086",0.409819218151857,-0.0899724741838985,53.6129032258064,70.8387096774194,50.3870967741936
"Sp_087",-0.586739785572924,0.0965340443290457,63.8026315789474,79,59.8815789473684
"Sp_088",0.338745049146171,-0.535384089872284,64.4634146341463,79.0975609756098,59.3414634146341
"Sp_089",0.740785166950857,-0.194671820543561,63.0888888888889,71.4,59.1111111111111
"Sp_090",0.517605966279158,-0.183232305931843,69.5757575757576,78.0606060606061,51.8484848484849
"Sp_091",0.359836927618465,-0.0809141317768327,72.4722222222222,75.2222222222222,57.1666666666667
"Sp_092",-0.293419853191836,-0.100498630969634,42.65,51.425,36.975
"Sp_093",-0.781639380046254,-0.0790930316408781,18.8333333333333,21.6111111111111,22.5277777777778
"Sp_094",0.383664042683023,-0.548990945087518,74.8529411764706,79.4705882352941,63.9705882352941
"Sp_095",0.541913132093598,-0.482286834171726,61.7162162162162,62.3108108108108,49.6756756756757
"Sp_096",0.604121575751081,-0.473815655789119,67.3142857142857,73.0285714285714,55.4857142857143
"Sp_097",0.381646708621545,0.414684583408267,67.5853658536585,80.5853658536585,49.390243902439
"Sp_098",-0.103562109371628,1.13742936483727,6.02631578947368,6.47368421052632,5.26315789473684
"Sp_099",0.58476020618101,0.573819463041241,62.9113924050633,68.9620253164557,49.7341772151899
"Sp_100",0.727178706868825,-0.102416306795044,79.6,88,65.8857142857143
"Sp_101",0.655735619618375,0.243916437984355,67.5428571428571,64,57.2
"Sp_102",-0.510734305605865,0.939028955662453,1.82222222222222,2.53333333333333,4.4
"Sp_103",-0.168103453135272,0.680525559985338,39.6904761904762,46.8452380952381,31.047619047619
"Sp_104",0.281474376532738,0.68812600640518,76.2820512820513,89.2564102564103,61.5512820512821
"Sp_105",0.792445252580188,0.116030165465739,65.025,69,52.1
"Sp_106",0.209051190427302,0.0957558109773953,45.9605263157895,53.5263157894737,38.9605263157895
"Sp_107",0.237851330223188,0.209791457985274,65.6470588235294,69.8235294117647,52.2941176470588
"Sp_108",0.141752823881214,-0.620034634103474,63.8974358974359,70.3589743589744,50.7692307692308
"Sp_109",0.187774202839243,0.143893470121594,57.2972972972973,64.8918918918919,45.7837837837838
"Sp_110",0.0211923289487112,-0.361524313191052,60.1857142857143,67.8285714285714,45.1571428571429
"Sp_111",0.0889482056570705,0.53424895952437,67.0571428571429,68.0857142857143,46.5142857142857
"Sp_112",0.224396132037342,-0.439550112573835,47.4054054054054,57.5405405405405,39.2432432432432
"Sp_113",-0.480948100059928,-0.0144340203729523,58.780487804878,66.5365853658537,43.2926829268293
"Sp_114",0.606852734696207,-0.178412406234433,75.7368421052632,83.0526315789474,61.9210526315789
"Sp_115",0.661565133175359,-0.354596693977379,83.1470588235294,84.4411764705882,76.7941176470588
"Sp_116",0.535024963169761,-0.0827297874153459,70.8285714285714,85.2571428571429,59.8285714285714
"Sp_117",-0.912915552521871,0.112921705053622,15.3684210526316,19.7894736842105,12.5789473684211
"Sp_118",0.0878065399966839,-0.585761134328156,61.3896103896104,70.6103896103896,49.5584415584416
"Sp_119",0.524580138936372,0.0493423008599633,58.7777777777778,69.2444444444444,49.0444444444444
"Sp_120",-0.133629597746912,-0.196984453882633,52.8,64.45,46.175
"Sp_121",0.231053878879511,-0.173966502892491,49.3953488372093,60.2093023255814,40.1627906976744
"Sp_122",0.23694181112454,-0.479469595875997,67.4054054054054,81.1351351351351,54.6081081081081
"Sp_123",0.425504878890985,-0.116187004455907,69.7101449275362,77.5652173913043,56.8260869565217
"Sp_124",0.510650571434555,-0.310362831403229,69.4468085106383,73.2340425531915,56
"Sp_125",0.340721142410176,0.189947808677819,70.7466666666667,74.8933333333333,50.48
"Sp_126",0.432006966963457,0.0287307116348214,72.5675675675676,77.8918918918919,52.4594594594595
"Sp_127",-0.838544687042038,-0.18296959328114,22.0454545454545,28.5,24.4545454545455
"Sp_128",0.646056436028956,-0.0719251672831322,71.8717948717949,82.9230769230769,66.8205128205128
"Sp_129",0.358487998658291,-0.38969071832205,62.2432432432432,65.027027027027,51.7027027027027
"Sp_130",-0.569136475949604,-0.0611309247432927,33.1351351351351,39.1891891891892,29.3783783783784
"Sp_131",-0.0950246794725005,0.640803843166794,49.3695652173913,65.2826086956522,45.2173913043478
"Sp_132",0.725855542325834,0.0386574914811692,65.525,62.275,43.8
"Sp_133",0.521318453304275,0.720050337679416,54,73.0232558139535,47.1860465116279
"Sp_134",-0.446778447435302,0.134796109321314,45.5121951219512,60.2439024390244,38.5365853658537
"Sp_135",0.70547023950517,-0.277834070664239,74.5454545454545,80.4318181818182,61.5227272727273
