"","D1","D2","D3","D4","D5","fear_mean","disgust_mean","approach_mean"
"Sp_119",0.475272597640408,0.09567935693586,0.195658227489461,0.397012152433996,-0.112983511265953,58.7777777777778,69.2444444444444,49.0444444444444
"Sp_120",-0.105519547781846,-0.164547408432069,0.00691197135854077,0.555413275410854,-0.155968592419161,52.8,64.45,46.175
"Sp_121",0.23963238277636,-0.0434991741230349,0.131586489006459,0.291449941784579,-0.37097013193694,49.3953488372093,60.2093023255814,40.1627906976744
"Sp_122",0.151182583234306,-0.49118943959379,0.119818888436888,-0.216935964232199,-0.0503988703157696,67.4054054054054,81.1351351351351,54.6081081081081
"Sp_123",0.361656000352804,-0.257741826343877,0.248373655577469,0.022170119371323,0.228957283844246,69.7101449275362,77.5652173913043,56.8260869565217
"Sp_124",0.433370513508347,-0.368336800720784,0.166808877717884,0.200392180897353,0.156500262868913,69.4468085106383,73.2340425531915,56
"Sp_125",0.246793344124083,0.0640713162797395,0.0640858124032045,0.0625488517594134,0.546401857420228,70.7466666666667,74.8933333333333,50.48
"Sp_126",0.368244161236481,-0.11762469580503,0.317970818993102,0.333944567337366,0.101917277758777,72.5675675675676,77.8918918918919,52.4594594594595
"Sp_127",-0.679213259549325,-0.178527148535409,0.132353605161025,-0.329013392330676,0.0783539862336639,22.0454545454545,28.5,24.4545454545455
"Sp_128",0.507284968188982,-0.12633929581821,-0.0552452128930968,-0.36752277801067,0.0810632536046703,71.8717948717949,82.9230769230769,66.8205128205128
"Sp_129",0.231139598964278,-0.440645110840563,0.125892448458003,-0.173689905115351,0.212341632318421,62.2432432432432,65.027027027027,51.7027027027027
"Sp_130",-0.452118643395815,-0.153001662974892,0.252025272808908,0.0205705832190024,-0.306560810548354,33.1351351351351,39.1891891891892,29.3783783783784
"Sp_131",-0.131459668535677,0.656408013310589,-0.165881282649133,-0.0747537668098359,0.0642283897421222,49.3695652173913,65.2826086956522,45.2173913043478
"Sp_132",0.566619795414825,0.0142269394713557,0.0234834559155926,-0.35510491576029,-0.0992036508707158,65.525,62.275,43.8
"Sp_133",0.260731277238483,0.430187237598656,0.258865159319095,-0.194189729210463,-0.581785989307649,54,73.0232558139535,47.1860465116279
"Sp_134",-0.311956705884397,0.0754221711852376,-0.049979224405361,0.183298706770256,0.534259017996442,45.5121951219512,60.2439024390244,38.5365853658537
"Sp_135",0.636741478549855,-0.271143589097838,0.0933485894187014,0.000767483529097516,0.0504122049902677,74.5454545454545,80.4318181818182,61.5227272727273
"Sp_136",-0.60126569680237,-0.194808532574497,0.0888426304914099,-0.467374451066989,0.105013455736893,31.5512820512821,51,27.6794871794872
"Sp_137",-0.565073588437487,0.365263500889364,0.217134996791851,0.0601426356799066,0.0210900190666421,33.1714285714286,38.7142857142857,26.4285714285714
"Sp_138",-0.0614891267145899,0.573247424004107,-0.178486319112948,0.249386035287418,-0.0474404378636294,44.780487804878,61.9024390243902,29.390243902439
"Sp_139",-0.461810149447612,0.300827408605715,-0.0862437319115684,-0.313008449594588,0.0645946461412025,38.7659574468085,45.063829787234,30.8085106382979
"Sp_140",-0.0112827473783534,0.515399840800859,0.0396684442567624,0.359984100648002,0.0915602209667138,34.6216216216216,44.8108108108108,20.4324324324324
"Sp_141",-0.000733056466512492,0.603858834395657,0.396359880376289,-0.422552752575882,-0.37054446718138,39.5,68.6666666666667,32.5
"Sp_142",0.59143426217415,0.055047567077709,0.205596575472008,-0.291228998568224,-0.0937273148426953,76.6046511627907,81.2093023255814,63.6511627906977
"Sp_143",0.0517153884945089,-0.539603386027191,-0.0156012288656686,-0.16053373465413,0.148506913474565,40.75,46.25,32.4285714285714
"Sp_144",0.459218365703471,0.416193158282022,-0.199690079603221,-0.30515112690988,-0.184679191879415,61.0714285714286,67.1785714285714,53.1904761904762
"Sp_145",-0.297643323077514,-0.0326576351962002,0.63035522473497,-0.24259935051296,-0.0607581608338348,18.8108108108108,19.2702702702703,13.9459459459459
"Sp_146",0.198121417906595,0.254264394861818,-0.513677779803974,0.150856525953099,0.277365256520808,66.5142857142857,68.6285714285714,41.0285714285714
"Sp_147",0.152030015560448,0.336851677897147,-0.265873139408618,0.338882209271582,0.139657818157122,59.8648648648649,63.5135135135135,49.3513513513514
"Sp_148",0.430030276777139,0.401381316609406,-0.215771370668228,-0.253149136181369,0.0226957886573966,66.7674418604651,72.0697674418605,43.3488372093023
"Sp_149",0.566390202038354,0.206630151033154,-0.264664991460349,-0.385206635739394,-0.133955183702502,63.6666666666667,71.3076923076923,49.0769230769231
"Sp_150",-0.551429532767116,-0.215797691788575,-0.331001683034769,-0.181059275831774,-0.12523441402464,20.25,30.3611111111111,25.7222222222222
"Sp_151",0.354557513265957,0.190168333250943,-0.476830494640244,0.0527043536079059,-0.27357690584545,52.6571428571429,61.8285714285714,47.5142857142857
"Sp_152",0.0544202696352274,0.502370256325529,-0.415925270407308,-0.0443268903871149,-0.133602536255025,62.0625,66.5625,44.0625
"Sp_153",-0.444985431831587,0.443972003372262,0.114669899896307,0.0864107756745463,0.399047778171921,49.5384615384615,57.7948717948718,40.1538461538462
"Sp_154",-0.0287596370455121,0.465642790584163,0.281874987114203,0.325176882395772,-0.100983985746435,65.2702702702703,67.7297297297297,46.7027027027027
"Sp_155",0.0842603092795955,0.471506678459157,-0.325892501515127,0.133420465862039,-0.371786474858219,41.3783783783784,51.4594594594595,35.6486486486486
"Sp_156",-0.0341341653650606,0.638444142930401,-0.117801740090355,0.0910910572565741,-0.301630556721239,45.1780821917808,52.8630136986301,35.7397260273973
